Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 2 	 4									2.704214																																-0.000000													-0.000000			-2.704213							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 5									2.703491																																-0.000000													-0.000000			-2.703490							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 6									2.863081																																-0.000000													-0.000000			-2.863081							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 7									2.863733																																-0.000000													-0.000000			-2.863733							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 8									2.852571																																-0.000000													-0.000000			-2.852570							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 9									2.818368																																-0.000000													-0.000000			-2.818368							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 10									2.818537																																-0.000000													-0.000000			-2.818537							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 11									2.818572																																-0.000000													-0.000000			-2.818572							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 12									2.818567																																-0.000000													-0.000000			-2.818567							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 13									2.818659																																-0.000000													-0.000000			-2.818658							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 14									2.818661																																-0.000000													-0.000000			-2.818661							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 15									2.818724																																-0.000000													-0.000000			-2.818724							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 16									2.857885																																-0.000000													-0.000000			-2.857885							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 17									2.862311																																-0.000000													-0.000000			-2.862311							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 18									2.862786																																-0.000000													-0.000000			-2.862786							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 19									2.863167																																-0.000000													-0.000000			-2.863167							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 20									2.863277																																-0.000000													-0.000000			-2.863277							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 21									2.863677																																-0.000000													-0.000000			-2.863676							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 22									2.704091																																-0.000000													-0.000000			-2.704091							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 23									2.704297																																-0.000000													-0.000000			-2.704297							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 2 	 24									2.704513																																-0.000000													-0.000000			-2.704513							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 1									2.869308																																-0.000000													-0.000000			-2.869307							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 2									2.869760																																-0.000000													-0.000000			-2.869759							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 3									2.870501																																-0.000000													-0.000000			-2.870500							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 4									2.869830																																-0.000000													-0.000000			-2.869830							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 5									2.869183																																-0.000000													-0.000000			-2.869183							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 6									2.958437																																-0.000000													-0.000000			-2.958436							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 7									2.960481																																-0.000000													-0.000000			-2.960480							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 8									2.961432																																-0.000000													-0.000000			-2.961432							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 9									2.962030																																-0.000000													-0.000000			-2.962029							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 10									2.957912																																-0.000000													-0.000000			-2.957911							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 11									2.890686																																-0.000000													-0.000000			-2.890685							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 12									2.886962																																-0.000000													-0.000000			-2.886961							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 13									2.960147																																-0.000000													-0.000000			-2.960147							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 14									2.961769																																-0.000000													-0.000000			-2.961769							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 15									2.961408																																-0.000000													-0.000000			-2.961407							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 16									2.960965																																-0.000000													-0.000000			-2.960965							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 17									2.960071																																-0.000000													-0.000000			-2.960070							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 18									2.959180																																-0.000000													-0.000000			-2.959179							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 19									2.971484																																-0.000000													-0.000000			-2.971483							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 20									2.969962																																-0.000000													-0.000000			-2.969962							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 21									2.966891																																-0.000000													-0.000000			-2.966890							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 22									2.879179																																-0.000000													-0.000000			-2.879179							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 23									2.878122																																-0.000000													-0.000000			-2.878121							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 3 	 24									2.876870																																-0.000000													-0.000000			-2.876870							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 1									2.826777																																-0.000000													-0.000000			-2.826777							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 2									2.826835																																-0.000000													-0.000000			-2.826835							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 3									2.826803																																-0.000000													-0.000000			-2.826803							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 4									2.826161																																-0.000000													-0.000000			-2.826161							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 5									2.825296																																-0.000000													-0.000000			-2.825296							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 6									2.933158																																-0.000000													-0.000000			-2.933158							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 7									2.933915																																-0.000000													-0.000000			-2.933914							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 8									2.935814																																-0.000000													-0.000000			-2.935813							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 9									2.935158																																-0.000000													-0.000000			-2.935158							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 10									2.933154																																-0.000000													-0.000000			-2.933154							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 11									2.916992																																-0.000000													-0.000000			-2.916992							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 12									2.865956																																-0.000000													-0.000000			-2.865955							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 13									2.865913																																-0.000000													-0.000000			-2.865913							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 14									2.933180																																-0.000000													-0.000000			-2.933180							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 15									2.934521																																-0.000000													-0.000000			-2.934520							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 16									2.934639																																-0.000000													-0.000000			-2.934639							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 17									2.933878																																-0.000000													-0.000000			-2.933877							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
 4 	 18									2.932433																																-0.000000													-0.000000			-2.932433							-0.000000					-0.000000											-0.000000																																						-0.000000				-0.000000											-0.000000	-0.000000				-0.000000	-0.000000																																																																		0.000000	
