Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 11	0.000000																				-0.033481																0.000000	0.000000		0.000000	0.000000	0.194185	19.599684	0.000000	0.000000	0.000000	1.311854	5.912127	1.025928			0.000000	0.000000	0.000000	0.000000						-0.884476	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618835		0.000000	0.000000	0.000000	0.000000						-0.000005		-0.288783	-0.018331	-0.140185						-0.000000						-0.000000	-0.000000	-0.045633	-2.410182		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	0.000000			-0.000000	0.000000	-3.185773	2.410182	-0.000000	0.000000																																																					-13.266135	
 1 	 12	0.000000																				-0.134415																0.000000	0.000000		0.000000	0.000000	0.152313	20.138851	0.000000	0.000000	0.000000	1.132471	5.912127	0.873771			0.000000	0.000000	0.000000	0.000000						-0.884476	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618835		0.000000	0.000000	0.000000	0.000000						-0.000005		-0.288783	-0.018331	-0.154204						-0.000000						-0.000000	-0.000000	-0.050196	-2.651208		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	0.000000			-0.000000	0.000000	-3.156334	2.651208	-0.000000	0.000000																																																					-13.341812	
 1 	 13	0.000000																				-0.012054																0.000000	0.000000		0.000000	0.000000	0.211250	19.586366	0.000000	0.000000	0.000000	1.318307	5.912127	1.047768			0.000000	0.000000	0.000000	0.000000						-0.884476	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618835		0.000000	0.000000	0.000000	0.000000						-0.000005		-0.288783	-0.018331	-0.140185						-0.000000						-0.000000	-0.000000	-0.045633	-2.410182		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	0.000000			-0.000000	0.000000	-3.185773	2.410182	-0.000000	0.000000																																																					-13.319602	
 1 	 14	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.198450	17.605913	0.000000	0.000000	0.000000	1.313286	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.884474	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-0.717188		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.288783	-0.018331	-0.141938						-0.000000						-0.000000	-0.000000	-0.046203	-2.440313		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	0.000002			-0.000000	0.000000	-3.182091	2.440313	-0.000000	0.000000																																																					-13.248349	
 1 	 15	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.162697	14.433998	0.000000	0.000000	0.000000	1.283289	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.884460	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-0.000004		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.282360	-0.018331	-0.159461						-0.000000						-0.000000	-0.000000	-0.051907	-2.741589		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	0.000016			-0.000000	0.000000	-0.741118	2.741589	-0.000000	0.000000																																																					-13.152064	
 1 	 16	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.114089	10.121618	0.000000	0.000000	0.000000	1.289833	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.797261	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-0.559577		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.256818	-0.018331	-0.166471						-0.000000						-0.000000	-0.000000	-0.054189	-2.862102		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	3.876357			-0.000000	0.000000	-0.000018	2.862102	-0.000000	0.000000																																																					-12.958938	
 1 	 17	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.049311	4.374749	0.000000	0.000000	0.000000	1.239062	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.798024	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618832		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.224321	-0.018331	-0.166471						-0.000000						-0.000000	-0.000000	-0.054189	-2.862102		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	11.447418			-0.000000	0.000000	-0.000021	2.862102	-0.000000	0.000000																																																					-12.640057	
 1 	 18	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.003716	0.329665	0.000000	0.000000	0.000000	1.153753	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.800052	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618833		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.185770	-0.018331	-0.122663						-0.000000						-0.000000	-0.000000	-0.039929	-2.108919		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	15.255271			-0.000000	0.000000	-0.000025	2.108919	-0.000000	0.000000																																																					-12.366509	
 1 	 19	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.116302	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.799983	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618834		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.160328	-0.018331	-0.087616						-0.000000						-0.000000	-0.000000	-0.028521	-1.506367		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	15.757923			-0.000000	0.000000	-0.000031	1.506367	-0.000000	0.000000																																																					-12.570288	
 1 	 20	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.103361	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.799789	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618834		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.152214	-0.018331	-0.065702						-0.000000						-0.000000	-0.000000	-0.021387	-1.129608		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	15.787277			-0.000000	0.000000	-0.000042	1.129609	-0.000000	0.000000																																																					-12.624046	
 1 	 21	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.070007	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.799737	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618834		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.149145	-0.018331	-0.043777						-0.000000						-0.000000	-0.000000	-0.014250	-0.752645		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	15.744177			-0.000000	0.000000	-0.000062	0.752645	-0.000000	0.000000																																																					-12.579755	
 1 	 22	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.001763	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.775684	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618834		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.146517	-0.018331	-0.028041						-0.000000						-0.000000	-0.000000	-0.009128	-0.482103		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	15.519363			-0.000000	0.000000	-0.000125	0.482103	-0.000000	0.000000																																																					-12.334173	
 1 	 23	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.987374	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.775860	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618834		0.000000	0.000000	0.000000	0.000000						-0.000001		-0.272204	-0.018331	-0.017526						-0.000000						-0.000000	-0.000000	-0.005705	-0.301314		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	16.147222			-0.000000	0.000000	-0.672171	0.301315	-0.000000	0.000000																																																					-12.163671	
 1 	 24	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.973683	5.912127	1.059721			0.000000	0.000000	0.000000	0.000000						-0.773217	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-2.618834		0.000000	0.000000	0.000000	0.000000						-0.000001		-0.288780	-0.018331	-0.007010						-0.000000						-0.000000	-0.000000	-0.002282	-0.120526		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.912127	18.801683			-0.000000	0.000000	-3.465310	0.120526	-0.000000	0.000000																																																					-12.011308	
 2 	 1	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.890080	4.650852	0.833643			0.000000	0.000000	0.000000	0.000000						-0.831985	-1.253879	0.000000	0.000000	0.000000	0.000000	0.000000						-0.000000		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000001	-0.018331	-0.004378						-0.000000						-0.000000	-0.000000	-0.001425	-0.075264		-0.320205								-0.000000		-0.000000	-0.075931	-0.000000	-0.000000		-0.000000		0.000000									-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-4.650852	12.294599			-0.000000	0.000000	-0.000038	0.075265	-0.000000	0.000000																																																					-12.512150	
