Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 11	0.000000																				-0.000001											4.050749	0.000000	0.000000		0.000001	0.000000	1.215492	38.775588	0.000000	0.000000	23.736673	43.168628	5.584029	4.438653			1.199997	0.000000	0.000000	0.000000						-1.056773	-14.231228	0.000001	0.000000	0.000000	0.000000	0.000000						-25.906396		0.000001	0.000000	0.000001	0.000000						-1.421746		-0.000001	-1.147363							-1.501216						-0.000000	-0.000001		-9.035620		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-16.258814						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000000	-11.666658	0.000000	-0.000007	0.000001	-11.943263	9.035620	-0.000001	0.000001																																																					-30.395708	
 1 	 12	0.000000																				-0.026357											4.050749	0.000000	0.000000		0.000000	0.000000	1.809717	58.568701	0.000000	0.000000	23.609684	41.929360	5.584029	4.411005			0.000025	0.000000	0.000000	0.000000						-12.364193	-14.231228	0.000000	0.000000	0.000000	0.000000	0.000000						-25.906396		0.000000	0.000000	0.000000	0.000000						-2.798262		-2.917621	-1.147363							-1.651342						-0.000000	-0.000001		-9.939211		-0.772901								-0.000000		-0.000000	-0.000000	-0.000001	-0.283711		-0.000000		0.000000							-16.258814						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000000	-11.666660	0.000000	-0.000008	0.000000	-11.832897	9.939211	-0.000001	0.000001																																																					-32.521494	
 1 	 13	0.000000																				-0.027223											4.050749	0.000000	0.000000		0.000000	0.000000	1.997442	64.579761	0.000000	0.000000	23.274634	38.418412	5.584029	4.410345			0.000000	0.000000	0.000000	0.000000						-12.364195	-14.231228	0.000000	0.000000	0.000000	0.000000	0.000000						-25.906396		0.000000	0.000000	0.000000	0.000000						-2.798262		-4.567195	-1.147363							-1.501216						-0.000000	-0.000001		-9.035620		-0.772901								-0.000000		-0.000000	-0.000000	-0.000001	-0.283711		-0.000000		0.000000							-16.258814						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000000	-11.666660	0.000000	-0.000008	0.000000	-11.943263	9.035620	-0.000001	0.000001																																																					-33.262913	
 1 	 14	0.000000																				-0.025910											4.050749	0.000000	0.000000		0.000000	0.000000	1.987335	64.216121	0.000000	0.000000	22.758208	36.579359	5.584029	4.411709			0.000008	0.000000	0.000000	0.000000						-12.364195	-14.231228	0.000000	0.000000	0.000000	0.000000	0.000000						-25.906396		0.000000	0.000000	0.000000	0.000000						-2.798262		-1.743626	-1.147363							-1.519983						-0.000000	-0.000001		-9.148581		-0.772901								-0.000000		-0.000000	-0.000000	-0.000001	-0.283711		-0.000000		0.000000							-16.258814						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000000	-11.666660	0.000000	-0.000008	0.000000	-11.929466	9.148581	-0.000001	0.000001																																																					-33.354970	
 1 	 15	0.000000																				-0.000001											4.050749	0.000000	0.000000		0.000001	0.000000	1.814315	57.878710	0.000000	0.000000	21.416521	35.900874	5.584029	4.438653			1.199996	0.000000	0.000000	0.000000						-7.371004	-14.231228	0.000000	0.000000	0.000000	0.000000	0.000000						-25.906396		0.000001	0.000000	0.000001	0.000000						-2.798084		-0.000009	-1.147363							-1.707637						-0.000000	-0.000001		-10.278046		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-16.258814						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000000	-11.666660	0.000000	-0.000007	0.000001	-11.791511	10.278046	-0.000001	0.000001																																																					-32.764501	
 1 	 16	0.000001																				-0.000000											4.050749	0.000001	0.000000		0.000002	0.000000	1.285989	41.024492	0.000000	0.000000	18.110967	34.454014	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000001	-14.231228	0.000003	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000000	0.000001	0.000001						-0.000001		-0.000000	-1.147363							-1.782701						-0.000000	-0.000001		-10.729841		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-16.258813						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000001	-0.627707	0.000001	-0.000002	0.000002	-11.736327	10.729841	-0.000001	0.000001																																																					-31.817729	
 1 	 17	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.661130	21.090799	0.000000	0.000000	16.248683	31.269727	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000000						-0.000000		-0.000000	-1.147363							-1.782701						-0.000000	-0.000001		-10.729841		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-3.878176						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.000029	-0.000001	0.000380	-0.000001	0.000006	-0.000002	10.729871	-0.000001	0.000001																																																					-30.957727	
 1 	 18	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.094327	3.009144	0.000000	0.000000	18.382200	28.352456	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-1.313570						-0.000000	-0.000001		-7.906204		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000030						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	0.091879	-0.000001	3.048464	-0.000001	0.000004	-0.000002	19.987084	-0.000001	0.000001																																																					-31.093573	
 1 	 19	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	20.599321	25.314229	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-0.938262						-0.000000	-0.000001		-5.647275		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000027						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	3.415599	-0.000001	12.433319	-0.000001	0.000004	-0.000002	9.584618	-0.000001	0.000001																																																					-32.109345	
 1 	 20	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	21.288012	26.050528	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-0.703592						-0.000000	-0.000000		-4.234831		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000025						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	10.962792	-0.000001	7.121552	-0.000001	0.000003	-0.000002	4.235265	-0.000001	0.000000																																																					-32.067522	
 1 	 21	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	20.901868	29.483310	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-0.468795						-0.000000	-0.000000		-2.821618		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000025						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	13.239494	-0.000001	1.138462	-0.000001	0.000003	-0.000002	2.821908	-0.000001	0.000000																																																					-31.642426	
 1 	 22	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	19.524760	30.524137	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-0.300285						-0.000000	-0.000000		-1.807374		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000023						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	13.148553	-0.000001	0.613761	-0.000002	0.000003	-0.000002	1.807586	-0.000001	0.000000																																																					-30.858938	
 1 	 23	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	17.833484	30.375141	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-0.187678						-0.000000	-0.000000		-1.129609		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000020						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	14.256617	-0.000001	0.436010	-0.000002	0.000003	-0.000002	1.129774	-0.000001	0.000000																																																					-30.061541	
 1 	 24	0.000002																				-0.000000											4.050749	0.000003	0.000001		0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	16.744136	30.169656	5.584029	4.438654			1.200000	0.000001	0.000000	0.000000						-0.000000	-14.231228	0.000004	0.000000	0.000000	0.000001	0.000000						-25.906396		0.000002	0.000001	0.000001	0.000001						-0.000000		-0.000000	-1.147363							-0.075071						-0.000000	-0.000000		-0.451843		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000020						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584029	14.394068	-0.000001	0.340458	-0.000002	0.000003	-0.000002	0.451984	-0.000001	0.000000																																																					-28.921189	
 2 	 1	0.000003																				-0.000001											4.050749	0.000003	0.000001		0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	4.383332	9.997672	6.281129	4.992767			1.199999	0.000001	0.000000	0.000000						-0.000001	-14.231227	0.000004	0.000000	0.000000	0.000001	0.000000						-3.270686		0.000001	0.000001	0.000001	0.000000						-0.000001		-0.000001	-1.147363							-0.046880						-0.000000	-0.000000		-0.282162		-0.772901								-0.000000		-0.000000	-0.000000	-0.000001	-0.283711		-0.000000		0.000000							-0.000005						0.000000	0.000000	0.000000	-0.000000	-0.000000		-6.281129	18.963663	-0.000003	0.001316	-0.000003	0.000003	-0.000007	2.583202	-0.000001	0.000000																																																					-26.137769	
