Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 2 	 3									7.519435																												-0.000007													-0.000008			-0.000070							-0.000006					-0.000002											-0.000001																																						-7.519250				-0.000012											-0.000001	-0.000003				-0.000009	-0.000082																																																																		0.000000	
 2 	 4									7.519456																												-0.000007													-0.000008			-0.000070							-0.000006					-0.000002											-0.000001																																						-7.519251				-0.000021											-0.000001	-0.000003				-0.000009	-0.000103																																																																		0.000000	
 2 	 5									7.519456																												-0.000007													-0.000008			-0.000070							-0.000006					-0.000002											-0.000001																																						-7.519251				-0.000021											-0.000001	-0.000003				-0.000009	-0.000103																																																																		0.000000	
 2 	 6									7.519455																												-0.000007													-0.000008			-0.000069							-0.000006					-0.000002											-0.000001																																						-7.519251				-0.000021											-0.000001	-0.000003				-0.000009	-0.000103																																																																		0.000000	
 2 	 7									7.519448																												-0.000007													-0.000008			-0.000069							-0.000006					-0.000002											-0.000001																																						-7.519241				-0.000021											-0.000001	-0.000003				-0.000017	-0.000103																																																																		0.000000	
 2 	 8									7.519448																												-0.000007													-0.000008			-0.000069							-0.000006					-0.000002											-0.000001																																						-7.519241				-0.000021											-0.000001	-0.000003				-0.000017	-0.000103																																																																		0.000000	
 2 	 9									7.519444																												-0.000005													-0.000008			-0.000068							-0.000005					-0.000002											-0.000001																																						-7.519241				-0.000021											-0.000001	-0.000003				-0.000017	-0.000103																																																																		0.000000	
 2 	 10									7.519437																												-0.000002													-0.000007			-0.000067							-0.000004					-0.000002											-0.000001																																						-7.519242				-0.000021											-0.000001	-0.000003				-0.000015	-0.000103																																																																		0.000000	
 2 	 11									7.519360																												-0.000000													-0.000001			-0.000014							-0.000001					-0.000002											-0.000001																																						-7.519247				-0.000021											-0.000001	-0.000003				-0.000008	-0.000093																																																																		0.000000	
 2 	 12									7.519307																												-0.000000													-0.000001			-0.000008							-0.000001					-0.000002											-0.000001																																						-7.519249				-0.000020											-0.000001	-0.000003				-0.000006	-0.000048																																																																		0.000000	
 2 	 13									7.519324																												-0.000000													-0.000001			-0.000008							-0.000001					-0.000002											-0.000001																																						-7.519249				-0.000020											-0.000001	-0.000003				-0.000006	-0.000066																																																																		0.000000	
 2 	 14									7.519324																												-0.000000													-0.000001			-0.000008							-0.000001					-0.000002											-0.000001																																						-7.519249				-0.000020											-0.000001	-0.000003				-0.000006	-0.000066																																																																		0.000000	
 2 	 15									7.519318																												-0.000000													-0.000001			-0.000008							-0.000001					-0.000002											-0.000001																																						-7.519249				-0.000020											-0.000001	-0.000003				-0.000006	-0.000059																																																																		0.000000	
 2 	 16									7.519307																												-0.000000													-0.000001			-0.000008							-0.000001					-0.000002											-0.000001																																						-7.519249				-0.000020											-0.000001	-0.000003				-0.000006	-0.000048																																																																		0.000000	
 2 	 17									7.519355																												-0.000000													-0.000001			-0.000009							-0.000001					-0.000002											-0.000001																																						-7.519247				-0.000021											-0.000001	-0.000003				-0.000008	-0.000094																																																																		0.000000	
 2 	 18									7.519401																												-0.000001													-0.000001			-0.000055							-0.000001					-0.000002											-0.000001																																						-7.519246				-0.000021											-0.000001	-0.000003				-0.000009	-0.000094																																																																		0.000000	
 2 	 19									7.519419																												-0.000001													-0.000001			-0.000063							-0.000001					-0.000002											-0.000001																																						-7.519253				-0.000021											-0.000001	-0.000003				-0.000006	-0.000093																																																																		0.000000	
 2 	 20									7.519410																												-0.000001													-0.000001			-0.000053							-0.000001					-0.000002											-0.000001																																						-7.519253				-0.000021											-0.000001	-0.000003				-0.000006	-0.000093																																																																		0.000000	
 2 	 21									7.519416																												-0.000001													-0.000001			-0.000060							-0.000001					-0.000002											-0.000001																																						-7.519253				-0.000021											-0.000001	-0.000003				-0.000006	-0.000093																																																																		0.000000	
 2 	 22									7.519416																												-0.000001													-0.000001			-0.000059							-0.000001					-0.000002											-0.000001																																						-7.519253				-0.000021											-0.000001	-0.000003				-0.000006	-0.000094																																																																		0.000000	
 2 	 23									7.519416																												-0.000001													-0.000001			-0.000058							-0.000001					-0.000002											-0.000001																																						-7.519253				-0.000021											-0.000001	-0.000003				-0.000006	-0.000095																																																																		0.000000	
 2 	 24									7.519414																												-0.000001													-0.000001			-0.000057							-0.000001					-0.000002											-0.000001																																						-7.519253				-0.000021											-0.000001	-0.000003				-0.000006	-0.000094																																																																		0.000000	
 3 	 1									7.519366																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000004																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000041																																																																		0.000000	
 3 	 2									7.519365																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000035																																																																		0.000000	
 3 	 3									7.519372																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519241				-0.000011											-0.000005	-0.000006				-0.000015	-0.000032																																																																		0.000000	
 3 	 4									7.519366																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000041																																																																		0.000000	
 3 	 5									7.519366																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000041																																																																		0.000000	
 3 	 6									7.519366																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000041																																																																		0.000000	
 3 	 7									7.519366																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000041																																																																		0.000000	
 3 	 8									7.519366																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000041																																																																		0.000000	
 3 	 9									7.519367																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000042																																																																		0.000000	
 3 	 10									7.519367																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000043																																																																		0.000000	
 3 	 11									7.519369																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000044																																																																		0.000000	
 3 	 12									7.519369																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000045																																																																		0.000000	
 3 	 13									7.519370																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000045																																																																		0.000000	
 3 	 14									7.519369																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000044																																																																		0.000000	
 3 	 15									7.519368																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000043																																																																		0.000000	
 3 	 16									7.519367																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000042																																																																		0.000000	
 3 	 17									7.519368																												-0.000002													-0.000002			-0.000003							-0.000003					-0.000003											-0.000003																																						-7.519238				-0.000011											-0.000005	-0.000006				-0.000015	-0.000043																																																																		0.000000	
 3 	 18									7.519429																												-0.000003													-0.000006			-0.000042							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000056																																																																		0.000000	
 3 	 19									7.519438																												-0.000003													-0.000007			-0.000052							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000055																																																																		0.000000	
 3 	 20									7.519438																												-0.000003													-0.000007			-0.000052							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000055																																																																		0.000000	
 3 	 21									7.519439																												-0.000003													-0.000007			-0.000052							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000056																																																																		0.000000	
 3 	 22									7.519439																												-0.000003													-0.000007			-0.000052							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000056																																																																		0.000000	
 3 	 23									7.519439																												-0.000003													-0.000007			-0.000052							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000056																																																																		0.000000	
 3 	 24									7.519439																												-0.000003													-0.000007			-0.000052							-0.000004					-0.000003											-0.000002																																						-7.519239				-0.000012											-0.000005	-0.000006				-0.000016	-0.000056																																																																		0.000000	
 4 	 1									7.519380																												-0.000002													-0.000003			-0.000046							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000062																																																																		0.000000	
 4 	 2									7.519377																												-0.000002													-0.000003			-0.000046							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000008	-0.000054																																																																		0.000000	
 4 	 3									7.519381																												-0.000002													-0.000003			-0.000047							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000008											-0.000003	-0.000005				-0.000008	-0.000051																																																																		0.000000	
 4 	 4									7.519379																												-0.000002													-0.000003			-0.000047							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000060																																																																		0.000000	
 4 	 5									7.519379																												-0.000002													-0.000003			-0.000047							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000059																																																																		0.000000	
 4 	 6									7.519379																												-0.000002													-0.000003			-0.000048							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000059																																																																		0.000000	
 4 	 7									7.519379																												-0.000002													-0.000003			-0.000048							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000059																																																																		0.000000	
 4 	 8									7.519380																												-0.000002													-0.000003			-0.000048							-0.000002					-0.000002											-0.000003																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000060																																																																		0.000000	
 4 	 9									7.519388																												-0.000002													-0.000003			-0.000052							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000063																																																																		0.000000	
 4 	 10									7.519340																												-0.000002													-0.000003			-0.000010							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000060																																																																		0.000000	
 4 	 11									7.519339																												-0.000002													-0.000003			-0.000009							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000060																																																																		0.000000	
 4 	 12									7.519315																												-0.000001													-0.000002			-0.000009							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000013											-0.000003	-0.000005				-0.000013	-0.000040																																																																		0.000000	
 4 	 13									7.519307																												-0.000001													-0.000002			-0.000009							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000013											-0.000003	-0.000005				-0.000012	-0.000032																																																																		0.000000	
 4 	 14									7.519313																												-0.000001													-0.000002			-0.000009							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000013											-0.000003	-0.000005				-0.000013	-0.000038																																																																		0.000000	
 4 	 15									7.519339																												-0.000002													-0.000003			-0.000009							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000060																																																																		0.000000	
 4 	 16									7.519341																												-0.000002													-0.000003			-0.000010							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000060																																																																		0.000000	
 4 	 17									7.519385																												-0.000002													-0.000003			-0.000051							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000014	-0.000062																																																																		0.000000	
 4 	 18									7.519396																												-0.000002													-0.000004			-0.000063							-0.000002					-0.000002											-0.000002																																						-7.519241				-0.000014											-0.000003	-0.000005				-0.000015	-0.000061																																																																		0.000000	
 4 	 19									7.519432																												-0.000011													-0.000006			-0.000064							-0.000004					-0.000002											-0.000002																																						-7.519240				-0.000015											-0.000003	-0.000005				-0.000017	-0.000079																																																																		0.000000	
