Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 3 	 9														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 10														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 11														0.163506																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 12														0.163506																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 13														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 14														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 15														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 16														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 3 	 17														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 18														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 19														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 20														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 21														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 22														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 23														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 3 	 24														0.163507																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 1														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 2														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 3														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 4														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 5														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 6														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 7														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 8														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 9														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 10														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 11														0.163507																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 4 	 12														0.163505																																									-0.000000					-0.163505					-0.000000																																																																																																																																										0.000000	
 4 	 13														0.163506																																									-0.000000					-0.163506					-0.000000																																																																																																																																										0.000000	
 4 	 14														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 15														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 16														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 17														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 18														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 19														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 20														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 21														0.163508																																									-0.000000					-0.163508					-0.000000																																																																																																																																										0.000000	
 4 	 22														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 23														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 4 	 24														0.163508																																									-0.000000					-0.163507					-0.000000																																																																																																																																										0.000000	
 5 	 1														0.163252																																									-0.000000					-0.163252					-0.000000																																																																																																																																										0.000000	
 5 	 2														0.163253																																									-0.000000					-0.163252					-0.000000																																																																																																																																										0.000000	
 5 	 3														0.163404																																									-0.000000					-0.163404					-0.000000																																																																																																																																										0.000000	
 5 	 4														0.163260																																									-0.000000					-0.163260					-0.000000																																																																																																																																										0.000000	
 5 	 5														0.163253																																									-0.000000					-0.163253					-0.000000																																																																																																																																										0.000000	
 5 	 6														0.163252																																									-0.000000					-0.163252					-0.000000																																																																																																																																										0.000000	
 5 	 7														0.163248																																									-0.000000					-0.163247					-0.000000																																																																																																																																										0.000000	
 5 	 8														0.092989																																									-0.000000					-0.092988					-0.000000																																																																																																																																										0.000000	
 5 	 9														0.092574																																									-0.000000					-0.092574					-0.000000																																																																																																																																										0.000000	
 5 	 10														0.148203																																									-0.000000					-0.148203					-0.000000																																																																																																																																										0.000000	
 5 	 11														0.148202																																									-0.000000					-0.148202					-0.000000																																																																																																																																										0.000000	
 5 	 12														0.148202																																									-0.000000					-0.148202					-0.000000																																																																																																																																										0.000000	
 5 	 13														0.148203																																									-0.000000					-0.148202					-0.000000																																																																																																																																										0.000000	
 5 	 14														0.148202																																									-0.000000					-0.148202					-0.000000																																																																																																																																										0.000000	
 5 	 15														0.092933																																									-0.000000					-0.092933					-0.000000																																																																																																																																										0.000000	
 5 	 16														0.099127																																									-0.000000					-0.099127					-0.000000																																																																																																																																										0.000000	
 5 	 17														0.163246																																									-0.000000					-0.163246					-0.000000																																																																																																																																										0.000000	
 5 	 18														0.163247																																									-0.000000					-0.163246					-0.000000																																																																																																																																										0.000000	
 5 	 19														0.163347																																									-0.000000					-0.163347					-0.000000																																																																																																																																										0.000000	
 5 	 20														0.163338																																									-0.000000					-0.163338					-0.000000																																																																																																																																										0.000000	
 5 	 21														0.163300																																									-0.000000					-0.163299					-0.000000																																																																																																																																										0.000000	
 5 	 22														0.163344																																									-0.000000					-0.163344					-0.000000																																																																																																																																										0.000000	
 5 	 23														0.163373																																									-0.000000					-0.163373					-0.000000																																																																																																																																										0.000000	
 5 	 24														0.163394																																									-0.000000					-0.163394					-0.000000																																																																																																																																										0.000000	
 6 	 1														0.163170																																									-0.000000					-0.163170					-0.000000																																																																																																																																										0.000000	
 6 	 2														0.163170																																									-0.000000					-0.163169					-0.000000																																																																																																																																										0.000000	
 6 	 3														0.163169																																									-0.000000					-0.163169					-0.000000																																																																																																																																										0.000000	
 6 	 4														0.163172																																									-0.000000					-0.163172					-0.000000																																																																																																																																										0.000000	
 6 	 5														0.163172																																									-0.000000					-0.163171					-0.000000																																																																																																																																										0.000000	
 6 	 6														0.163171																																									-0.000000					-0.163171					-0.000000																																																																																																																																										0.000000	
 6 	 7														0.163169																																									-0.000000					-0.163168					-0.000000																																																																																																																																										0.000000	
 6 	 8														0.163167																																									-0.000000					-0.163167					-0.000000																																																																																																																																										0.000000	
 6 	 9														0.092928																																									-0.000000					-0.092928					-0.000000																																																																																																																																										0.000000	
 6 	 10														0.092930																																									-0.000000					-0.092930					-0.000000																																																																																																																																										0.000000	
 6 	 11														0.092977																																									-0.000000					-0.092977					-0.000000																																																																																																																																										0.000000	
 6 	 12														0.096049																																									-0.000000					-0.096048					-0.000000																																																																																																																																										0.000000	
 6 	 13														0.117046																																									-0.000000					-0.117046					-0.000000																																																																																																																																										0.000000	
 6 	 14														0.162948																																									-0.000000					-0.162947					-0.000000																																																																																																																																										0.000000	
 6 	 15														0.163168																																									-0.000000					-0.163168					-0.000000																																																																																																																																										0.000000	
 6 	 16														0.163264																																									-0.000000					-0.163264					-0.000000																																																																																																																																										0.000000	
 6 	 17														0.163317																																									-0.000000					-0.163317					-0.000000																																																																																																																																										0.000000	
 6 	 18														0.163395																																									-0.000000					-0.163395					-0.000000																																																																																																																																										0.000000	
 6 	 19														0.163470																																									-0.000000					-0.163470					-0.000000																																																																																																																																										0.000000	
 6 	 20														0.163402																																									-0.000000					-0.163402					-0.000000																																																																																																																																										0.000000	
 6 	 21														0.163406																																									-0.000000					-0.163406					-0.000000																																																																																																																																										0.000000	
 6 	 22														0.163416																																									-0.000000					-0.163416					-0.000000																																																																																																																																										0.000000	
 6 	 23														0.163424																																									-0.000000					-0.163424					-0.000000																																																																																																																																										0.000000	
 6 	 24														0.163431																																									-0.000000					-0.163430					-0.000000																																																																																																																																										0.000000	
 7 	 1														0.163134																																									-0.000000					-0.163133					-0.000000																																																																																																																																										0.000000	
 7 	 2														0.163133																																									-0.000000					-0.163132					-0.000000																																																																																																																																										0.000000	
 7 	 3														0.163132																																									-0.000000					-0.163131					-0.000000																																																																																																																																										0.000000	
 7 	 4														0.163131																																									-0.000000					-0.163130					-0.000000																																																																																																																																										0.000000	
 7 	 5														0.163130																																									-0.000000					-0.163129					-0.000000																																																																																																																																										0.000000	
 7 	 6														0.163129																																									-0.000000					-0.163128					-0.000000																																																																																																																																										0.000000	
 7 	 7														0.163230																																									-0.000000					-0.163230					-0.000000																																																																																																																																										0.000000	
 7 	 8														0.093039																																									-0.000000					-0.093038					-0.000000																																																																																																																																										0.000000	
 7 	 9														0.093046																																									-0.000000					-0.093046					-0.000000																																																																																																																																										0.000000	
 7 	 10														0.092896																																									-0.000000					-0.092895					-0.000000																																																																																																																																										0.000000	
 7 	 11														0.148128																																									-0.000000					-0.148128					-0.000000																																																																																																																																										0.000000	
 7 	 12														0.148128																																									-0.000000					-0.148127					-0.000000																																																																																																																																										0.000000	
 7 	 13														0.148128																																									-0.000000					-0.148128					-0.000000																																																																																																																																										0.000000	
 7 	 14														0.092896																																									-0.000000					-0.092896					-0.000000																																																																																																																																										0.000000	
 7 	 15														0.119733																																									-0.000000					-0.119733					-0.000000																																																																																																																																										0.000000	
 7 	 16														0.162873																																									-0.000000					-0.162872					-0.000000																																																																																																																																										0.000000	
 7 	 17														0.163126																																									-0.000000					-0.163125					-0.000000																																																																																																																																										0.000000	
 7 	 18														0.163231																																									-0.000000					-0.163231					-0.000000																																																																																																																																										0.000000	
 7 	 19														0.163291																																									-0.000000					-0.163291					-0.000000																																																																																																																																										0.000000	
 7 	 20														0.163329																																									-0.000000					-0.163329					-0.000000																																																																																																																																										0.000000	
 7 	 21														0.163355																																									-0.000000					-0.163354					-0.000000																																																																																																																																										0.000000	
 7 	 22														0.163375																																									-0.000000					-0.163374					-0.000000																																																																																																																																										0.000000	
 7 	 23														0.163391																																									-0.000000					-0.163391					-0.000000																																																																																																																																										0.000000	
 7 	 24														0.163403																																									-0.000000					-0.163403					-0.000000																																																																																																																																										0.000000	
 8 	 1														0.163203																																									-0.000000					-0.163203					-0.000000																																																																																																																																										0.000000	
 8 	 2														0.163203																																									-0.000000					-0.163202					-0.000000																																																																																																																																										0.000000	
 8 	 3														0.163236																																									-0.000000					-0.163235					-0.000000																																																																																																																																										0.000000	
 8 	 4														0.163304																																									-0.000000					-0.163304					-0.000000																																																																																																																																										0.000000	
 8 	 5														0.163347																																									-0.000000					-0.163346					-0.000000																																																																																																																																										0.000000	
 8 	 6														0.163373																																									-0.000000					-0.163373					-0.000000																																																																																																																																										0.000000	
 8 	 7														0.163391																																									-0.000000					-0.163390					-0.000000																																																																																																																																										0.000000	
 8 	 8														0.163201																																									-0.000000					-0.163201					-0.000000																																																																																																																																										0.000000	
 8 	 9														0.162999																																									-0.000000					-0.162999					-0.000000																																																																																																																																										0.000000	
 8 	 10														0.163200																																									-0.000000					-0.163199					-0.000000																																																																																																																																										0.000000	
 8 	 11														0.163199																																									-0.000000					-0.163198					-0.000000																																																																																																																																										0.000000	
 8 	 12														0.163199																																									-0.000000					-0.163198					-0.000000																																																																																																																																										0.000000	
 8 	 13														0.163200																																									-0.000000					-0.163199					-0.000000																																																																																																																																										0.000000	
 8 	 14														0.163200																																									-0.000000					-0.163200					-0.000000																																																																																																																																										0.000000	
 8 	 15														0.163202																																									-0.000000					-0.163201					-0.000000																																																																																																																																										0.000000	
 8 	 16														0.163413																																									-0.000000					-0.163413					-0.000000																																																																																																																																										0.000000	
 8 	 17														0.163424																																									-0.000000					-0.163423					-0.000000																																																																																																																																										0.000000	
 8 	 18														0.163431																																									-0.000000					-0.163431					-0.000000																																																																																																																																										0.000000	
 8 	 19														0.163451																																									-0.000000					-0.163451					-0.000000																																																																																																																																										0.000000	
 8 	 20														0.163453																																									-0.000000					-0.163452					-0.000000																																																																																																																																										0.000000	
 8 	 21														0.163454																																									-0.000000					-0.163453					-0.000000																																																																																																																																										0.000000	
 8 	 22														0.163451																																									-0.000000					-0.163451					-0.000000																																																																																																																																										0.000000	
 8 	 23														0.163455																																									-0.000000					-0.163454					-0.000000																																																																																																																																										0.000000	
